SchoolYear,OrganizationLevel,County,DistrictCode,DistrictName,SchoolName,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities
2019-20,District,Chelan,4127,Entiat School District,District Total,12th Grade,22,5,0,17,0,0,0,8,0,2,12,2,0,1,0,7,0,0,1,1,5,20,22,21,22,15,22,22,21,21,17
2019-20,District,King,17216,Enumclaw School District,District Total,12th Grade,303,140,0,163,6,0,4,34,0,13,246,8,0,1,12,80,0,0,11,12,51,295,303,302,291,223,303,303,292,291,252
2019-20,District,Grant,13165,Ephrata School District,District Total,12th Grade,195,90,0,105,1,1,1,52,0,3,137,7,0,23,14,93,7,2,9,11,10,188,195,172,181,102,188,193,186,184,185
2019-20,District,Spokane,32801,ESD 101 acting as a school district,District Total,12th Grade,127,46,3,78,5,1,12,13,1,2,93,0,0,0,0,9,1,0,77,0,0,127,123,127,127,118,126,127,50,127,127
2019-20,District,Yakima,39801,ESD 105 acting as a school district,District Total,12th Grade,9,1,0,8,0,0,0,6,0,0,3,0,0,0,3,0,1,0,2,0,0,9,9,9,6,9,8,9,7,9,9
2019-20,District,Clark,6801,ESD 112 acting as a school district,District Total,12th Grade,104,43,1,60,0,0,4,18,2,5,75,0,0,0,0,0,0,1,88,0,0,104,103,104,104,104,104,103,16,104,104
2019-20,District,Thurston,34801,ESD 113 acting as a school district,District Total,12th Grade,307,142,1,164,18,5,5,27,5,21,226,0,0,0,58,0,0,3,134,0,0,307,300,307,249,307,307,304,173,307,307
2019-20,District,Kitsap,18801,ESD 114 acting as a school district,District Total,12th Grade,3,0,0,3,0,0,0,1,0,0,2,0,0,0,0,3,0,0,3,0,1,3,2,3,3,0,3,3,0,3,2
2019-20,District,Franklin,11801,ESD 123 acting as a school district,District Total,12th Grade,79,33,0,46,3,0,4,41,0,0,31,0,0,0,0,0,6,1,31,0,0,79,78,79,79,79,73,78,48,79,79
2019-20,District,Skagit,29801,ESD 189 acting as a school district,District Total,12th Grade,19,7,2,10,3,0,0,2,0,1,13,0,0,0,0,0,0,0,14,0,0,19,16,19,19,19,19,19,5,19,19
2019-20,District,Snohomish,31002,Everett School District,District Total,12th Grade,1434,707,1,726,11,199,62,308,13,94,747,116,0,70,102,332,2,0,58,104,195,1318,1430,1364,1332,1102,1432,1434,1376,1330,1239
2019-20,District,Clark,6114,Evergreen School District (Clark),District Total,12th Grade,2463,1179,2,1282,17,184,89,540,44,149,1440,169,0,136,104,1121,3,4,84,95,333,2294,2456,2327,2359,1342,2460,2459,2379,2368,2130
