SchoolYear,OrganizationLevel,County,DistrictCode,DistrictName,SchoolName,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities
2019-20,District,Grays Harbor,14172,Ocosta School District,District Total,12th Grade,44,25,0,19,3,0,0,10,0,9,22,0,0,0,9,34,2,1,4,3,6,44,44,44,35,10,42,43,40,41,38
2019-20,District,Lincoln,22105,Odessa School District,District Total,12th Grade,24,10,0,14,0,0,0,1,0,0,23,0,0,0,0,9,0,0,0,4,0,24,24,24,24,15,24,24,24,20,24
2019-20,District,Thurston,34974,Office of the Governor (Sch for Blind),District Total,12th Grade,11,4,0,7,0,1,0,3,1,0,6,2,0,0,0,9,0,0,0,0,11,9,11,11,11,2,11,11,11,11,0
2019-20,District,Okanogan,24105,Okanogan School District,District Total,12th Grade,103,51,1,51,9,0,1,24,0,16,53,11,0,0,18,66,3,0,13,3,11,92,103,103,85,37,100,103,90,100,92
2019-20,District,Thurston,34111,Olympia School District,District Total,12th Grade,860,433,0,427,2,78,23,87,2,72,596,21,0,2,14,211,1,10,29,60,93,839,853,858,846,649,859,850,831,800,767
2019-20,District,Okanogan,24019,Omak School District,District Total,12th Grade,355,201,0,154,37,11,15,35,2,8,247,0,0,3,9,253,3,2,35,30,61,355,354,352,346,102,352,353,320,325,294
2019-20,District,Lewis,21300,Onalaska School District,District Total,12th Grade,52,27,0,25,0,1,0,5,0,4,42,2,0,0,2,31,0,0,0,3,3,50,52,52,50,21,52,52,52,49,49
2019-20,District,San Juan,28137,Orcas Island School District,District Total,12th Grade,42,18,0,24,0,0,0,10,0,3,29,4,0,0,0,21,0,0,1,4,8,38,42,42,42,21,42,42,41,38,34
2019-20,District,Okanogan,24410,Oroville School District,District Total,12th Grade,31,10,0,21,1,0,0,12,0,0,18,2,0,0,1,24,0,0,1,2,1,29,31,31,30,7,31,31,30,29,30
2019-20,District,Pierce,27344,Orting School District,District Total,12th Grade,190,92,0,98,1,2,1,36,1,12,137,7,0,0,10,63,0,1,6,8,16,183,188,190,180,127,190,189,184,182,174
2019-20,District,Adams,1147,Othello School District,District Total,12th Grade,321,144,0,177,1,0,1,272,0,1,46,78,0,2,1,240,39,1,14,8,50,243,321,319,320,81,282,320,307,313,271
2019-20,District,Whitman,38301,Palouse School District,District Total,12th Grade,10,3,0,7,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,10,10,10,10,9,10,10,10,10,9
2019-20,District,Franklin,11001,Pasco School District,District Total,12th Grade,1445,699,0,746,5,21,20,1051,3,34,311,323,0,66,19,1029,121,7,89,54,189,1122,1442,1379,1426,416,1324,1438,1356,1391,1256
2019-20,District,Okanogan,24122,Pateros School District,District Total,12th Grade,24,15,0,9,0,0,0,10,0,1,13,0,0,2,3,19,2,0,0,0,5,24,24,22,21,5,22,24,24,24,19
2019-20,District,Lewis,21301,Pe Ell School District,District Total,12th Grade,22,11,0,11,1,0,0,2,0,1,18,0,0,0,2,9,0,0,0,2,4,22,22,22,20,13,22,22,22,20,18
2019-20,District,Pierce,27401,Peninsula School District,District Total,12th Grade,789,385,0,404,5,13,3,65,2,69,632,11,0,35,28,161,0,19,40,64,97,778,788,754,761,628,789,770,749,725,692
2019-20,District,Garfield,12110,Pomeroy School District,District Total,12th Grade,23,13,0,10,0,1,0,0,0,1,21,0,0,16,0,7,0,0,0,0,3,23,23,7,23,16,23,23,23,23,20
2019-20,District,Clallam,5121,Port Angeles School District,District Total,12th Grade,307,153,3,151,11,9,1,26,0,36,224,5,0,31,8,142,1,0,19,24,37,302,306,276,299,165,306,307,288,283,270
2019-20,District,Jefferson,16050,Port Townsend School District,District Total,12th Grade,87,40,0,47,1,4,2,5,0,5,70,4,0,2,4,38,0,1,3,6,9,83,87,85,83,49,87,86,84,81,78
2019-20,District,Walla Walla,36402,Prescott School District,District Total,12th Grade,20,11,0,9,0,0,0,19,0,0,1,2,0,0,0,20,1,0,1,0,0,18,20,20,20,0,19,20,19,20,20
2019-20,District,Benton,3116,Prosser School District,District Total,12th Grade,216,104,0,112,0,3,2,137,1,5,68,20,0,7,6,146,47,1,9,8,32,196,216,209,210,70,169,215,207,208,184
2019-20,District,Whitman,38267,Pullman School District,District Total,12th Grade,208,89,1,118,2,25,7,15,2,14,143,2,0,14,2,58,1,2,3,16,15,206,207,194,206,150,207,206,205,192,193
2019-20,District,Pierce,27003,Puyallup School District,District Total,12th Grade,1865,942,0,923,19,120,101,310,35,191,1089,74,12,112,47,644,2,53,84,181,287,1791,1853,1753,1818,1221,1863,1812,1781,1684,1578
2019-20,District,Jefferson,16048,Quilcene School District,District Total,12th Grade,20,11,0,9,2,0,0,1,0,2,15,0,0,0,0,11,0,0,2,1,4,20,20,20,20,9,20,20,18,19,16
2019-20,District,Clallam,5903,Quileute Tribal School District,District Total,12th Grade,8,2,0,6,8,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,3,8,8,8,8,0,8,8,7,8,5
2019-20,District,Clallam,5402,Quillayute Valley School District,District Total,12th Grade,935,553,0,382,9,24,32,197,10,99,564,27,0,3,26,429,4,27,172,63,151,908,931,932,909,506,931,908,763,872,784
2019-20,District,Grant,13144,Quincy School District,District Total,12th Grade,212,107,0,105,0,2,2,179,0,0,29,44,0,0,9,168,27,0,13,13,20,168,211,212,203,44,185,212,199,199,192
2019-20,District,Thurston,34307,Rainier School District,District Total,12th Grade,60,36,0,24,0,1,0,6,0,4,49,0,0,9,0,25,0,3,1,3,6,60,59,51,60,35,60,57,59,57,54
2019-20,District,Pacific,25116,Raymond School District,District Total,12th Grade,39,17,0,22,0,5,0,13,1,0,20,5,0,2,6,26,0,0,1,0,5,34,39,37,33,13,39,39,38,39,34
2019-20,District,Lincoln,22009,Reardan-Edwall School District,District Total,12th Grade,56,28,0,28,0,0,0,3,0,5,48,0,0,0,0,13,0,0,3,0,7,56,55,56,56,43,56,56,53,56,49
2019-20,District,King,17403,Renton School District,District Total,12th Grade,1139,534,1,604,3,330,162,278,10,62,294,89,12,1,40,566,4,1,92,67,145,1050,1127,1138,1099,573,1135,1138,1047,1072,994
2019-20,District,Ferry,10309,Republic School District,District Total,12th Grade,19,7,0,12,1,0,0,1,0,2,15,0,0,0,3,14,0,0,1,0,1,19,19,19,16,5,19,19,18,19,18
2019-20,District,Benton,3400,Richland School District,District Total,12th Grade,1125,572,1,552,6,40,20,184,1,45,829,34,0,56,22,359,12,4,48,0,122,1091,1121,1069,1103,766,1113,1121,1077,1125,1003
2019-20,District,Clark,6122,Ridgefield School District,District Total,12th Grade,220,108,0,112,2,4,1,22,1,13,177,4,0,10,5,52,0,3,10,9,25,216,220,210,215,168,220,217,210,211,195
2019-20,District,Adams,1160,Ritzville School District,District Total,12th Grade,36,23,0,13,0,0,0,2,0,3,31,0,0,0,2,11,0,0,3,2,0,36,36,36,34,25,36,36,33,34,36
2019-20,District,Spokane,32416,Riverside School District,District Total,12th Grade,109,50,0,59,1,1,2,5,0,0,100,0,0,7,4,52,0,0,6,6,10,109,108,102,105,57,109,109,103,103,99
2019-20,District,King,17407,Riverview School District,District Total,12th Grade,245,112,0,133,3,8,0,25,2,12,195,1,0,0,2,25,0,1,4,17,29,244,245,245,243,220,245,244,241,228,216
2019-20,District,Thurston,34401,Rochester School District,District Total,12th Grade,160,78,0,82,5,2,1,30,0,10,112,6,0,5,11,77,0,4,13,8,27,154,159,155,149,83,160,156,147,152,133
2019-20,District,Whitman,38320,Rosalia School District,District Total,12th Grade,13,4,0,9,0,0,0,0,0,0,13,0,0,0,0,9,0,0,0,0,4,13,12,13,13,4,13,13,13,13,9
2019-20,District,Grant,13160,Royal School District,District Total,12th Grade,112,55,0,57,0,0,0,93,0,0,19,23,0,8,8,63,6,0,3,10,7,89,112,104,104,49,106,112,109,102,105
2019-20,District,San Juan,28149,San Juan Island School District,District Total,12th Grade,88,39,0,49,1,2,1,14,0,1,69,5,0,0,0,38,2,0,1,2,7,83,88,88,88,50,86,88,87,86,81
2019-20,District,King,17001,Seattle School District No. 1,District Total,12th Grade,4083,1982,6,2095,33,708,729,562,21,346,1684,471,25,345,249,1612,48,10,177,305,653,3612,4058,3738,3834,2471,4035,4073,3906,3778,3430
2019-20,District,Skagit,29101,Sedro-Woolley School District,District Total,12th Grade,396,164,0,232,15,3,7,93,3,17,258,32,0,0,34,224,12,2,36,21,81,364,391,396,362,172,384,394,360,375,315
2019-20,District,Yakima,39119,Selah School District,District Total,12th Grade,352,180,0,172,3,4,1,103,0,4,237,19,0,27,2,172,15,6,21,12,53,333,351,325,350,180,337,346,331,340,299
2019-20,District,Pend Oreille,26070,Selkirk School District,District Total,12th Grade,22,13,0,9,0,1,0,1,0,1,19,0,0,0,1,9,0,0,0,0,5,22,22,22,21,13,22,22,22,22,17
2019-20,District,Clallam,5323,Sequim School District,District Total,12th Grade,190,102,0,88,4,5,0,22,0,8,151,3,0,15,7,68,1,0,5,16,26,187,188,175,183,122,189,190,185,174,164
2019-20,District,Mason,23309,Shelton School District,District Total,12th Grade,464,219,1,244,18,5,7,115,1,42,276,40,0,0,68,278,17,3,48,51,57,424,457,464,396,186,447,461,416,413,407
2019-20,District,King,17412,Shoreline School District,District Total,12th Grade,763,371,0,392,2,103,69,107,4,87,391,35,0,1,14,241,1,0,21,102,95,728,757,762,749,522,762,763,742,661,668
2019-20,District,King,17404,Skykomish School District,District Total,12th Grade,3,2,0,1,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,2,3,3,2,3,0,3,3,3,3,1
2019-20,District,Snohomish,31201,Snohomish School District,District Total,12th Grade,922,431,0,491,5,34,7,100,3,48,725,15,0,384,15,162,11,5,23,88,118,907,920,538,907,760,911,917,899,834,804
2019-20,District,King,17410,Snoqualmie Valley School District,District Total,12th Grade,493,235,0,258,4,24,3,26,4,18,414,4,0,0,4,54,0,5,17,36,56,489,492,493,489,439,493,488,476,457,437
2019-20,District,Grant,13156,Soap Lake School District,District Total,12th Grade,37,15,0,22,0,0,4,9,0,0,24,5,0,0,4,32,2,2,2,1,4,32,37,37,33,5,35,35,35,36,33
2019-20,District,Pacific,25118,South Bend School District,District Total,12th Grade,37,18,0,19,1,1,0,17,0,8,10,4,0,0,4,27,1,0,1,2,7,33,36,37,33,10,36,37,36,35,30
2019-20,District,Kitsap,18402,South Kitsap School District,District Total,12th Grade,707,347,0,360,9,24,6,87,16,78,487,5,0,45,26,244,0,36,41,35,99,702,704,662,681,463,707,671,666,672,608
2019-20,District,Island,15206,South Whidbey School District,District Total,12th Grade,117,54,0,63,0,4,1,3,0,7,102,1,0,0,7,26,0,1,3,6,17,116,116,117,110,91,117,116,114,111,100
2019-20,District,Spokane,32081,Spokane School District,District Total,12th Grade,2191,1039,0,1152,35,85,84,208,32,243,1504,147,24,1,154,1160,3,17,94,119,388,2044,2167,2190,2037,1031,2188,2174,2097,2072,1803
2019-20,District,Lincoln,22008,Sprague School District,District Total,12th Grade,8,2,0,6,0,0,0,1,0,0,7,0,0,0,1,5,0,0,0,3,3,8,8,8,7,3,8,8,8,5,5
2019-20,District,Whitman,38322,St. John School District,District Total,12th Grade,20,7,0,13,0,0,1,0,0,0,19,0,0,0,0,9,0,0,0,0,0,20,20,20,20,11,20,20,20,20,20
2019-20,District,Snohomish,31401,Stanwood-Camano School District,District Total,12th Grade,407,209,0,198,4,4,6,39,2,32,320,8,0,13,17,108,1,14,24,19,73,399,405,394,390,299,406,393,383,388,334
2019-20,District,Pierce,27001,Steilacoom Hist. School District,District Total,12th Grade,256,130,0,126,1,33,16,38,7,41,120,9,0,19,2,55,0,49,10,9,27,247,255,237,254,201,256,207,246,247,229
2019-20,District,Skamania,30303,Stevenson-Carson School District,District Total,12th Grade,66,33,0,33,1,2,0,6,0,3,54,0,0,7,5,32,0,0,2,5,11,66,64,59,61,34,66,66,64,61,55
2019-20,District,Snohomish,31311,Sultan School District,District Total,12th Grade,142,65,0,77,3,1,1,29,0,5,103,4,0,0,0,57,1,0,4,4,30,138,141,142,142,85,141,142,138,138,112
2019-20,District,Pierce,27905,Summit Public School: Olympus,District Total,12th Grade,38,19,1,18,1,1,6,14,2,8,6,4,0,0,0,25,0,0,0,2,11,34,37,38,38,13,38,38,38,36,27
2019-20,District,King,17902,Summit Public School: Sierra,District Total,12th Grade,75,34,0,41,0,9,29,7,0,11,19,5,0,2,0,28,0,0,7,11,11,70,73,73,75,47,75,75,68,64,64
2019-20,District,Pierce,27320,Sumner School District,District Total,12th Grade,788,383,0,405,14,16,10,88,5,62,593,15,0,36,19,225,1,11,33,49,105,773,781,752,769,563,787,777,755,739,683
2019-20,District,Yakima,39201,Sunnyside School District,District Total,12th Grade,488,251,0,237,0,0,2,455,0,2,29,103,0,0,15,354,91,6,25,6,71,385,485,488,473,134,397,482,463,482,417
2019-20,District,Kitsap,18902,Suquamish Tribal Education Department,District Total,12th Grade,15,8,0,7,8,0,0,1,0,6,0,0,0,0,0,15,4,0,0,1,4,15,15,15,15,0,11,15,15,14,11
2019-20,District,Pierce,27010,Tacoma School District,District Total,12th Grade,2264,1118,1,1145,25,269,338,411,71,221,929,67,29,2,125,1251,3,23,192,112,332,2197,2235,2262,2139,1013,2261,2241,2072,2152,1932
2019-20,District,Grays Harbor,14077,Taholah School District,District Total,12th Grade,16,8,0,8,10,0,0,2,0,4,0,0,0,0,2,11,3,0,2,0,2,16,16,16,14,5,13,16,14,16,14
2019-20,District,King,17409,Tahoma School District,District Total,12th Grade,697,329,2,366,2,35,17,62,2,62,517,6,0,9,3,92,0,11,34,65,82,691,693,688,694,605,697,686,663,632,615
2019-20,District,Whitman,38265,Tekoa School District,District Total,12th Grade,10,6,0,4,1,0,0,1,0,0,8,0,0,0,0,7,0,0,0,0,2,10,10,10,10,3,10,10,10,10,8
2019-20,District,Thurston,34402,Tenino School District,District Total,12th Grade,110,54,0,56,1,1,0,5,1,2,100,0,0,0,0,44,0,2,11,6,11,110,109,110,110,66,110,108,99,104,99
2019-20,District,Kittitas,19400,Thorp School District,District Total,12th Grade,15,9,0,6,0,0,0,0,0,0,15,0,0,0,0,7,0,2,1,1,0,15,15,15,15,8,15,13,14,14,15
2019-20,District,Lewis,21237,Toledo School District,District Total,12th Grade,72,37,0,35,1,1,0,3,0,6,61,0,0,0,11,38,0,0,3,3,17,72,72,72,61,34,72,72,69,69,55
2019-20,District,Okanogan,24404,Tonasket School District,District Total,12th Grade,76,35,0,41,1,0,0,28,0,6,41,4,0,0,1,52,18,1,3,3,7,72,76,76,75,24,58,75,73,73,69
2019-20,District,Yakima,39202,Toppenish School District,District Total,12th Grade,484,237,0,247,30,5,7,260,1,3,178,89,0,14,10,330,57,0,71,8,52,395,483,470,474,154,427,484,413,476,432
2019-20,District,Cowlitz,8130,Toutle Lake School District,District Total,12th Grade,44,21,0,23,0,0,0,3,0,2,39,0,0,5,1,12,0,0,3,4,0,44,44,39,43,32,44,44,41,40,44
2019-20,District,Klickitat,20400,Trout Lake School District,District Total,12th Grade,11,9,0,2,0,0,0,2,0,0,9,1,0,2,0,0,0,0,0,0,2,10,11,9,11,11,11,11,11,11,9
2019-20,District,King,17406,Tukwila School District,District Total,12th Grade,267,145,1,121,0,97,69,52,9,13,27,66,0,0,11,180,0,0,15,9,26,201,266,267,256,87,267,267,252,258,241
2019-20,District,Thurston,34033,Tumwater School District,District Total,12th Grade,781,371,2,408,4,14,23,118,8,50,564,10,10,48,30,228,3,11,24,41,90,771,771,733,751,553,778,770,757,740,691
2019-20,District,Pierce,27083,University Place School District,District Total,12th Grade,414,197,0,217,3,66,35,48,8,58,196,13,0,18,7,137,0,17,12,27,35,401,412,396,407,277,414,397,402,387,379
2019-20,District,Stevens,33070,Valley School District,District Total,12th Grade,12,7,0,5,0,0,0,1,0,1,10,0,0,1,3,8,0,0,0,0,0,12,12,11,9,4,12,12,12,12,12
2019-20,District,Clark,6037,Vancouver School District,District Total,12th Grade,1754,894,0,860,10,65,50,445,38,113,1033,143,13,26,71,783,2,9,104,73,225,1611,1741,1728,1683,971,1752,1745,1650,1681,1529
2019-20,District,King,17402,Vashon Island School District,District Total,12th Grade,137,56,0,81,1,4,0,12,0,6,114,7,0,6,3,32,0,2,1,11,16,130,137,131,134,105,137,135,136,126,121
2019-20,District,Wahkiakum,35200,Wahkiakum School District,District Total,12th Grade,42,18,0,24,1,2,0,2,0,3,34,2,0,0,10,29,0,1,3,4,9,40,41,42,32,13,42,41,39,38,33
2019-20,District,Grant,13073,Wahluke School District,District Total,12th Grade,133,74,0,59,1,0,0,127,0,0,5,42,0,0,10,118,68,0,6,2,15,91,133,133,123,15,65,133,127,131,118
2019-20,District,Walla Walla,36401,Waitsburg School District,District Total,12th Grade,28,10,0,18,0,0,0,3,0,1,24,0,0,0,1,14,0,2,0,4,2,28,27,28,27,14,28,26,28,24,26
2019-20,District,Walla Walla,36140,Walla Walla Public Schools,District Total,12th Grade,570,299,1,270,3,6,5,234,0,16,306,31,0,41,24,314,16,4,27,25,68,539,567,529,546,256,554,566,543,545,502
2019-20,District,Yakima,39207,Wapato School District,District Total,12th Grade,229,115,0,114,44,6,0,160,1,8,10,70,0,13,17,202,56,2,18,6,16,159,229,216,212,27,173,227,211,223,213
2019-20,District,Grant,13146,Warden School District,District Total,12th Grade,56,28,0,28,0,0,0,42,0,4,10,8,0,2,2,36,17,0,3,0,7,48,56,54,54,20,39,56,53,56,49
2019-20,District,Thurston,34975,Washington Center for Deaf and Hard of Hearing Youth,District Total,12th Grade,15,6,0,9,0,1,1,6,0,0,7,0,0,0,0,10,0,0,0,1,12,15,15,15,15,5,15,15,15,14,3
2019-20,District,Thurston,34979,Washington Military Department,District Total,12th Grade,12,2,0,10,0,0,2,5,0,0,5,0,0,0,0,12,0,0,12,1,11,12,11,12,12,0,12,12,0,11,1
2019-20,District,Clark,6112,Washougal School District,District Total,12th Grade,290,143,0,147,0,8,6,31,0,15,230,5,0,1,7,101,0,5,16,20,52,285,288,289,283,189,290,285,274,270,238
2019-20,District,Adams,1109,Washtucna School District,District Total,12th Grade,3,3,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,1,3,3,2,3,1,3,3,3,3,2
2019-20,District,Douglas,9209,Waterville School District,District Total,12th Grade,27,8,1,18,0,0,0,11,0,2,14,5,0,2,1,15,4,0,1,0,6,22,27,25,26,12,23,27,26,27,21
2019-20,District,Stevens,33049,Wellpinit School District #49,District Total,12th Grade,56,19,1,36,21,0,2,9,0,2,22,5,0,0,8,31,5,0,21,0,6,51,55,56,48,25,51,56,35,56,50
2019-20,District,Chelan,4246,Wenatchee School District,District Total,12th Grade,751,342,0,409,1,9,3,332,0,28,378,87,0,72,58,411,93,5,44,23,85,664,745,679,693,340,658,746,707,728,666
2019-20,District,Spokane,32363,West Valley School District (Spokane),District Total,12th Grade,428,147,108,173,1,4,11,36,2,40,334,10,0,29,31,263,0,0,31,20,64,418,426,399,397,165,428,428,397,408,364
2019-20,District,Yakima,39208,West Valley School District (Yakima),District Total,12th Grade,454,215,1,238,3,7,6,140,3,11,284,22,0,0,5,164,5,7,45,13,23,432,451,454,449,290,449,447,409,441,431
2019-20,District,Lewis,21303,White Pass School District,District Total,12th Grade,35,15,0,20,1,0,0,1,0,0,33,0,0,0,3,25,0,0,1,1,7,35,34,35,32,10,35,35,34,34,28
2019-20,District,Pierce,27416,White River School District,District Total,12th Grade,320,148,0,172,0,6,2,33,1,15,263,1,0,18,8,80,0,2,10,17,58,319,319,302,312,240,320,318,310,303,262
2019-20,District,Klickitat,20405,White Salmon Valley School District,District Total,12th Grade,105,48,0,57,0,1,0,36,0,3,65,5,0,8,5,47,4,2,4,6,16,100,104,97,100,58,101,103,101,99,89
2019-20,District,Lincoln,22200,Wilbur School District,District Total,12th Grade,21,7,0,14,1,0,0,2,0,1,17,0,0,0,0,7,0,0,2,0,3,21,21,21,21,14,21,21,19,21,18
2019-20,District,Pacific,25160,Willapa Valley School District,District Total,12th Grade,30,15,0,15,0,0,0,7,0,2,21,0,0,1,0,11,0,1,1,1,6,30,30,29,30,19,30,29,29,29,24
2019-20,District,Grant,13167,Wilson Creek School District,District Total,12th Grade,9,3,0,6,0,0,0,2,0,0,7,0,0,0,0,3,0,0,1,0,0,9,9,9,9,6,9,9,8,9,9
2019-20,District,Lewis,21232,Winlock School District,District Total,12th Grade,50,19,0,31,0,0,0,11,0,3,36,3,0,0,1,48,3,0,3,2,4,47,49,50,49,2,47,50,47,48,46
2019-20,District,Grays Harbor,14117,Wishkah Valley School District,District Total,12th Grade,18,9,0,9,0,0,0,1,0,0,17,0,0,0,1,8,0,0,3,0,2,18,18,18,17,10,18,18,15,18,16
2019-20,District,Klickitat,20094,Wishram School District,District Total,12th Grade,5,2,0,3,0,0,0,2,0,0,3,0,0,0,0,5,0,0,2,1,1,5,5,5,5,0,5,5,3,4,4
2019-20,District,Cowlitz,8404,Woodland School District,District Total,12th Grade,219,111,0,108,1,4,1,40,0,4,169,12,0,15,8,108,0,3,13,11,38,207,218,204,211,111,219,216,206,208,181
2019-20,District,Yakima,39007,Yakima School District,District Total,12th Grade,1374,694,0,680,14,10,9,1080,0,47,214,332,16,54,49,1045,154,5,133,41,150,1042,1358,1320,1325,329,1220,1369,1241,1333,1224
2019-20,District,Thurston,34002,Yelm School District,District Total,12th Grade,434,225,1,208,3,7,7,66,6,45,300,7,0,22,10,187,3,26,27,25,50,427,429,412,424,247,431,408,407,409,384
2019-20,District,Yakima,39205,Zillah School District,District Total,12th Grade,94,34,0,60,3,0,0,48,0,4,39,3,0,3,3,49,5,1,0,2,10,91,93,91,91,45,89,93,94,92,84
